Make,Model,Year,Purchase Price,Repair Cost,Sales Price,Profit,Stock Days,Date Sold,Sales Person
Kia,Rio,2019,13574.35,369.95,13734.02,-210.28,85,24/05/2021,Pat Byrne
Honda,Accord,2020,27615.36,1389.59,31011.55,2006.6,72,10/05/2021,Jimmy The Fly
Honda,Accord,2018,20812.06,654.16,20650.63,-815.59,13,09/05/2021,Pat Byrne
Skoda,Octavia,2017,21364.11,1870.61,22125.87,-1108.85,17,28/05/2021,Pat Byrne
Audi,A3,2020,26621.99,1032.72,29048.29,1393.58,18,26/05/2021,Tony Long
Audi,A4,2021,49678.63,4021.25,51222.32,-2477.56,46,28/05/2021,Jimmy The Fly
BMW,3 Series,2018,35454.59,1848.88,36239.32,-1064.15,40,04/05/2021,Tony Long
BMW,5 Series,2018,38256.86,3678.24,40327.43,-1607.67,68,03/05/2021,Jimmy The Fly
Audi,A1,2018,21819.04,1398.37,24571.34,1353.93,31,02/05/2021,Tony Long
Skoda,Scala,2019,15532.39,385.41,15608.31,-309.49,84,26/05/2021,Pat Byrne
Skoda,Scala,2017,10101.25,845.88,11262.2,315.07,83,25/05/2021,Jimmy The Fly
Skoda,Octavia,2020,29583.97,1081.58,32175.72,1510.17,67,10/05/2021,Joe Fats
Audi,A5,2021,54390.45,1834.85,55106.12,-1119.18,28,12/05/2021,Santa Barry
Audi,A4,2020,47912.41,3931.6,53734.85,1890.84,80,28/05/2021,Jimmy The Fly
Honda,Fit,2020,13403.76,278.42,13090.16,-592.02,6,08/05/2021,Tony Long
Audi,A6,2017,38874.23,1725.93,43258.47,2658.31,62,01/05/2021,Joe Fats
Honda,Accord,2018,23348.12,1023.76,25213.19,841.31,53,17/05/2021,Pat Byrne
BMW,7 Series,2019,53230.64,2003.05,55315.51,81.82,71,25/05/2021,Tony Long
Skoda,Octavia,2019,29749.12,1482.14,33283.05,2051.79,54,06/05/2021,Mary Black
BMW,5 Series,2020,48874.16,1681.62,54508.57,3952.79,24,01/05/2021,Jimmy The Fly
BMW,5 Series,2019,49778.2,2855.73,51718.85,-915.08,84,17/05/2021,Tony Long
Audi,A4,2021,49671.33,2656.53,53103.68,775.82,35,12/05/2021,Mary Black
Honda,Civic,2018,15807.23,472.47,17744.14,1464.44,7,25/05/2021,Santa Barry
BMW,7 Series,2019,56390.8,5479.05,61282.35,-587.5,34,24/05/2021,Mary Black
BMW,1 Series,2021,34160.19,2917.13,40718.49,3641.17,13,26/05/2021,Jimmy The Fly
Skoda,Scala,2019,15907.07,1152.2,18734.05,1674.78,90,26/05/2021,Jimmy The Fly
Honda,Jazz,2018,18806.21,567.24,20731.41,1357.96,3,22/05/2021,Mary Black
Kia,Spotage,2021,40977.88,1642.56,43580.29,959.85,61,12/05/2021,Mary Black
Audi,A6,2019,53545.69,4644.51,60537.16,2346.96,17,05/05/2021,Mary Black
Kia,Sorento,2018,35537.96,3419.76,42711.63,3753.91,48,07/05/2021,Joe Fats
Audi,A4,2017,31195.48,3066.05,32916.32,-1345.21,3,18/05/2021,Tony Long
Honda,Fit,2017,8290.37,588.22,9219.48,340.89,3,18/05/2021,Tony Long
Honda,Accord,2017,19374.99,407.83,20385.73,602.91,66,29/05/2021,Santa Barry
Skoda,Citigo,2020,13595.11,1200.26,15840.47,1045.1,6,23/05/2021,Santa Barry
Kia,Rio,2017,9887.74,151.12,9707.5,-331.36,21,10/05/2021,Tony Long
Kia,Sorento,2019,47129.64,4647.24,52309.42,532.54,26,03/05/2021,Tony Long
Audi,A1,2017,17429.1,830.59,18620.54,360.85,5,22/05/2021,Pat Byrne
Audi,A1,2018,19856.97,529.86,20817.89,431.06,33,12/05/2021,Pat Byrne
Honda,Jazz,2019,23967.47,794.91,24688.4,-73.98,54,19/05/2021,Mary Black
BMW,3 Series,2019,42273.17,1396.17,43775.83,106.49,60,06/05/2021,Santa Barry
Audi,A6,2021,70510.28,1676.06,77639.48,5453.14,1,31/05/2021,Mary Black
BMW,7 Series,2021,73490.33,5505.2,82879.39,3883.86,88,31/05/2021,Joe Fats
Skoda,Octavia,2021,31712.58,2586.95,34267.99,-31.54,63,03/05/2021,Joe Fats
Audi,A1,2017,16604.86,1638.22,19182.59,939.51,18,31/05/2021,Pat Byrne
BMW,X5,2019,54005.48,1661.24,53916.29,-1750.43,77,25/05/2021,Tony Long
BMW,X5,2020,59863.09,2641.12,67082.35,4578.14,62,23/05/2021,Joe Fats
Honda,Jazz,2017,16857,462.34,17862.6,543.26,22,17/05/2021,Jimmy The Fly
Audi,A4,2018,40620.65,1241.97,44502.39,2639.77,9,23/05/2021,Santa Barry
Kia,Soul,2019,31438.16,2766.16,34264.66,60.34,10,17/05/2021,Joe Fats
Honda,Accord,2021,31695.56,2138.82,36897.57,3063.19,14,15/05/2021,Santa Barry
Skoda,Scala,2017,10055.92,400.72,10472.86,16.22,59,13/05/2021,Joe Fats
Honda,Jazz,2017,16332.44,785.92,18474.18,1355.82,17,05/05/2021,Jimmy The Fly
BMW,5 Series,2020,51585.12,4680.78,60486.13,4220.23,25,08/05/2021,Pat Byrne
Audi,A4,2020,50053.23,1806.57,55481.05,3621.25,45,19/05/2021,Jimmy The Fly
Audi,A6,2021,68095.32,1290.88,67084.59,-2301.61,66,15/05/2021,Santa Barry
Honda,Fit,2017,9427.93,340.14,9988.62,220.55,22,10/05/2021,Santa Barry
BMW,5 Series,2018,44765.52,1170.09,43687.83,-2247.78,88,30/05/2021,Pat Byrne
Audi,A5,2017,38087.29,3760.71,40471.66,-1376.34,9,10/05/2021,Pat Byrne
Skoda,Octavia,2021,33122.02,2802.87,34389.48,-1535.41,82,10/05/2021,Mary Black
Kia,Rio,2019,15196.78,834.1,17426.09,1395.21,26,01/05/2021,Tony Long
Audi,A6,2019,50530.06,1662.63,51628.58,-564.11,66,16/05/2021,Mary Black
Skoda,Octavia,2019,27332.83,806.74,29030.28,890.71,87,26/05/2021,Tony Long
